User ID,577527df498eb2fb3b377a72,55b3857a498eb61da338a745,5190816b498e0202f5bd665f,4f96abffe4b0d6680052c9a1,5007d42ae4b09eefeb1d3592,57c8311f498e1cd138798f40,5069d5a0e4b0e86559e557c2,568d6ef4498e26b6b16271b7,56f2f160498e46624357be9c,5262bc5211d24d2698e52205,4ed3350729c223f92c2e9f49,57d9202b498ee3a7322ada66,4e117c9fb0fbfef99b92481e,51dfe77b498ea62726bdd9db,5204d729ccdacb9bfb17126f,51a4960a498ea3d3fc2bce0e,52711ea811d2cb33109b2de5,Unnamed: 18,Unnamed: 19
1,2.2714615922654997,2.983553705067081,5.190603412027301,1.0132734174088105,4.970052787290365,2.9916923589596527,3.6827922586913417,1.0246858222384754,4.060719355209972,1.9818970179323268,2.7502686602507054,1.0207305898371732,3.736748460748298,1.0212070118387766,1.9757079286302397,2.7314806605285145,1.0257157216099442,3.782484759974589,1.021597698991389
2,2.1287964986725085,1.4014364077483394,5.08898145918225,1.0351536470755534,3.990029559731333,1.7342142171764117,4.725335155892081,2.6958650648134506,3.9784296364031286,1.3838437927214144,3.120114045462838,2.6831144850413424,4.720908031772506,2.532289091113607,1.3835446950334853,3.1330640252971818,2.7201307951517446,4.727363636142039,2.6055017370112052
3,1.0271099316144947,1.089386588781252,3.5855528867022306,4.34258837021917,1.3241067868712602,1.0126704068278263,3.7258777693509972,4.531384365965342,1.0239949341127828,1.1810884791685465,3.5839586043691463,4.971883746528995,3.590149863837704,4.9645305512835,1.208406013145084,3.5839376853002474,4.970497650088799,3.594268886182917,4.97015440403052
4,1.004391143053608,0.7469832898511033,3.5135770763646086,3.976489159451104,1.0316306667361976,0.7399861111749841,3.302935399314506,3.9851267059042748,1.093644352953247,0.7408110799296614,3.0856142412507883,4.051782024139612,3.345037975311034,3.9963787956261405,0.7408460239006398,2.9595966857274263,4.065319277327813,3.3625917218712846,4.001305600563404
5,1.9602152743902241,1.0284619216365083,4.9685373872839005,2.60651568192599,2.9633906528042235,1.0397255649930137,4.967360172297123,3.986149888220516,2.97631485693897,1.0394312473824323,3.4558553487706667,3.988601010471578,4.9636330709745105,3.7555775019563584,1.04055657725096,3.4277785032699963,3.988591935038713,4.968899324718967,3.750149415369405
6,2.269744139770654,2.984740747906068,5.1903108729991105,1.0126306941913974,4.97291464048115,2.994572752305948,3.6827542796217005,1.021469340956247,4.06161681326482,1.98628585108133,2.7484283094767346,1.019673378055491,3.7355826796388363,1.0184369340280215,1.9778849276816026,2.7325991594283914,1.0236537574266351,3.781616198356641,1.0194249825349448
7,2.1322179333815456,1.401733291249034,5.0913719355651175,1.0305256934939109,3.990381020512145,1.7406802383196278,4.721412662802465,2.6927654563809074,3.9776827335119442,1.3810298887233543,3.1281835292776474,2.6738089371171476,4.722510090768923,2.5206054877353674,1.385135747274155,3.124561976723427,2.7146807768137813,4.724743226455656,2.600497742120141
8,1.025453549204536,1.085814442317575,3.5865693291569145,4.337563357060645,1.3236282382088784,1.0142521756506115,3.7260976569672253,4.529656238839683,1.025556089080247,1.184210072212302,3.5844406142982623,4.974018564656424,3.59025301587296,4.966392714493082,1.2094748184936366,3.5835759995546437,4.970018149603611,3.5939662106851107,4.970845945432054
9,1.0022433625952343,0.7437498143093422,3.5204584296088783,3.977127752615173,1.0294094683281376,0.7415682763846128,3.3029590065460965,3.9847010223305332,1.091994046130908,0.7396520267995084,3.0902474858819904,4.052129785785082,3.3440637974703504,3.997925361473252,0.7405018303404862,2.958503103311059,4.066523789106721,3.360955486700508,4.001345938190844
10,1.9609419678872562,1.0310461567733182,4.96597083048517,2.612644312726932,2.9633646857221545,1.040385858634552,4.965687318318489,3.9856989426912026,2.975561905293864,1.039996289942272,3.452408731734251,3.987214103310709,4.96297783409461,3.754166903554701,1.0411033691900025,3.427245266614811,3.9866481506381457,4.967934166431592,3.7483244900086077
